Preço_kg,precipitação_mm,temp_max,temp_orv,umidade_ar,data_med
1.88,69.80000000000001,29.7,14.0,94.0,2023-01-20
1.56,112.80000000000001,28.7,15.5,94.0,2023-01-26
1.56,67.0,29.8,14.1,94.0,2023-02-03
1.69,83.0,28.9,15.3,94.0,2023-02-10
3.0,32.199999999999996,29.8,15.4,92.0,2023-02-17
3.5,64.2,31.6,13.2,93.0,2023-02-24
3.5,49.00000000000001,29.8,12.8,94.0,2023-03-03
3.58,64.00000000000001,28.1,15.0,93.0,2023-03-10
3.0,4.2,29.1,11.4,91.0,2023-03-17
2.56,18.8,31.2,11.8,92.0,2023-03-24
2.06,17.999999999999996,29.9,13.1,93.0,2023-03-31
2.5,64.0,30.3,13.0,94.0,2023-04-06
3.0,43.599999999999994,27.0,15.2,94.0,2023-04-13
3.04,19.599999999999998,28.8,9.2,94.0,2023-04-20
2.12,27.2,27.0,12.8,93.0,2023-04-27
2.25,0.2,27.5,9.3,94.0,2023-05-05
2.25,0.0,27.1,5.7,90.0,2023-05-12
2.0,0.0,26.4,3.8,76.0,2023-05-18
2.0,0.0,26.4,7.1,88.0,2023-05-26
2.0,0.0,24.7,7.0,93.0,2023-06-02
2.0,0.0,24.7,7.0,93.0,2023-06-07
2.5,0.0,25.0,5.8,93.0,2023-06-16
2.66,0.0,25.1,6.8,78.0,2023-06-23
3.12,0.0,25.0,7.2,76.0,2023-06-30
3.12,0.0,25.3,3.9,71.0,2023-07-07
3.12,4.2,28.5,4.1,93.0,2023-07-14
2.62,1.8,27.7,4.0,89.0,2023-07-21
2.62,0.0,27.5,6.1,80.0,2023-07-27
1.81,0.0,29.3,4.2,71.0,2023-08-04
2.38,0.0,30.8,5.8,76.0,2023-08-11
2.75,103.40000000000002,32.1,16.3,95.0,2023-12-28
5.5,65.20000000000003,31.1,14.6,95.0,2024-01-05
6.0,42.6,31.0,16.5,94.0,2024-01-10
6.0,35.8,32.2,15.5,93.0,2024-01-18
5.88,29.599999999999998,29.8,12.7,93.0,2024-01-25
4.0,66.4,28.8,14.2,94.0,2024-02-01
2.75,5.400000000000001,30.8,10.6,92.0,2024-02-08
2.88,26.2,29.0,16.3,95.0,2024-02-16
2.75,31.999999999999996,32.0,13.4,94.0,2024-02-22
2.5,0.0,32.4,17.3,85.0,2024-02-29
