Preço_kg,precipitação_mm,temp_max,data_med
1.67,0.0,28.5,2022-07-15
1.62,0.0,26.9,2022-07-22
1.5,0.0,26.9,2022-07-28
1.5,0.0,29.9,2022-08-05
1.42,10.4,27.3,2022-08-12
1.33,0.0,29.6,2022-08-19
1.0,0.0,30.7,2022-08-25
1.5,0.0,30.6,2022-09-01
1.5,0.0,33.3,2022-09-09
1.5,8.2,32.2,2022-09-15
1.5,57.2,30.4,2022-09-23
1.5,7.2,27.3,2022-09-30
1.5,72.80000000000001,30.7,2022-10-06
1.5,1.2000000000000002,31.6,2022-10-14
1.37,8.0,30.5,2022-10-21
1.37,8.2,30.4,2022-10-27
1.23,0.4,27.6,2022-11-04
1.1,5.4,29.1,2022-11-10
1.07,25.400000000000002,30.2,2022-11-18
1.07,34.6,29.6,2022-11-25
1.03,117.20000000000003,27.5,2022-12-01
0.93,117.20000000000003,27.5,2022-12-07
0.93,63.000000000000014,28.8,2022-12-15
1.4,84.2,28.5,2022-12-22
1.5,40.800000000000004,26.1,2022-12-30
1.75,150.6,26.1,2023-01-06
2.25,155.79999999999998,28.7,2023-01-12
2.5,10.999999999999998,29.2,2023-08-18
2.5,6.6000000000000005,32.9,2023-08-25
2.5,0.0,31.3,2023-09-08
3.0,0.2,33.4,2023-09-15
3.0,24.800000000000004,36.2,2023-09-22
2.67,22.8,31.2,2023-09-29
2.75,111.60000000000002,31.8,2023-10-06
2.5,85.40000000000002,32.8,2023-10-13
2.75,17.6,31.6,2023-10-20
2.5,25.599999999999994,32.8,2023-10-27
2.5,30.999999999999996,31.5,2023-11-03
2.25,0.0,36.5,2023-11-10
2.62,21.599999999999998,35.4,2023-11-17
2.25,5.2,31.6,2023-11-24
2.5,7.4,31.6,2023-12-01
2.62,7.4,31.6,2023-12-07
2.62,57.400000000000006,31.8,2023-12-14
2.25,11.399999999999999,32.1,2023-12-21
5.75,65.20000000000003,31.1,2024-01-05
