Preço_kg,precipitação_mm,temp_max,data_med
2.25,69.80000000000001,29.7,2023-01-20
2.25,112.80000000000001,28.7,2023-01-26
2.17,67.0,29.8,2023-02-03
2.17,83.0,28.9,2023-02-10
3.42,32.199999999999996,29.8,2023-02-17
4.0,64.2,31.6,2023-02-24
4.0,49.00000000000001,29.8,2023-03-03
4.0,64.00000000000001,28.1,2023-03-10
4.0,4.2,29.1,2023-03-17
3.0,18.8,31.2,2023-03-24
2.58,17.999999999999996,29.9,2023-03-31
3.42,64.0,30.3,2023-04-06
4.67,43.599999999999994,27.0,2023-04-13
4.67,19.599999999999998,28.8,2023-04-20
4.0,27.2,27.0,2023-04-27
2.5,0.2,27.5,2023-05-05
3.25,0.0,27.1,2023-05-12
3.25,0.0,26.4,2023-05-18
3.25,0.0,26.4,2023-05-26
3.25,0.0,24.7,2023-06-02
3.25,0.0,24.7,2023-06-07
2.5,0.0,25.0,2023-06-16
2.75,0.0,25.1,2023-06-23
3.0,0.0,25.0,2023-06-30
3.0,0.0,25.3,2023-07-07
3.0,4.2,28.5,2023-07-14
2.5,1.8,27.7,2023-07-21
2.42,0.0,27.5,2023-07-27
1.72,0.0,29.3,2023-08-04
2.38,0.0,30.8,2023-08-11
3.0,0.2,33.4,2023-09-15
3.5,103.40000000000002,32.1,2023-12-28
6.5,42.6,31.0,2024-01-10
6.5,35.8,32.2,2024-01-18
6.33,29.599999999999998,29.8,2024-01-25
5.0,66.4,28.8,2024-02-01
4.96,5.400000000000001,30.8,2024-02-08
5.25,26.2,29.0,2024-02-16
5.08,31.999999999999996,32.0,2024-02-22
4.75,0.0,32.4,2024-02-29
